USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MD	24003731002	7581487	3342522	2.927	1.291	39.0302814	-76.4200293                                                                                                                                       
MD	24003731003	3181054	1225330	1.228	0.473	39.0442342	-76.4413282                                                                                                                                       
MD	24003731004	1880854	103854	0.726	0.04	39.0464075	-76.4522628                                                                                                                                         
MD	24003731102	7249275	2585443	2.799	0.998	39.0563016	-76.47295                                                                                                                                         
MD	24003731103	8562085	0	3.306	0.	39.0343178	-76.4946333                                                                                                                                                
MD	24003731104	2466519	675384	0.952	0.261	39.0574102	-76.496011                                                                                                                                         
MD	24003731105	2714789	956783	1.048	0.369	39.0594163	-76.5171807                                                                                                                                        
MD	24003731201	5269683	1322332	2.035	0.511	39.0661752	-76.5238577                                                                                                                                       
MD	24003731202	16663482	8994693	6.434	3.473	39.0919722	-76.4894907                                                                                                                                      
MD	24003731203	8157743	561139	3.15	0.217	39.1000975	-76.5476869                                                                                                                                         
MD	24003731204	11127307	144825	4.296	0.056	39.1214756	-76.5575969                                                                                                                                       
MD	24003731303	18296908	19467651	7.064	7.517	39.0992681	-76.4535079                                                                                                                                     
MD	24003731306	15994855	9020686	6.176	3.483	39.1446562	-76.4656332                                                                                                                                      
MD	24003731307	6275246	23859	2.423	0.009	39.1270646	-76.5071029                                                                                                                                         
MD	24003731308	1634461	1215507	0.631	0.469	39.1650148	-76.5098833                                                                                                                                       
MD	24003731309	2648321	608141	1.023	0.235	39.147901	-76.5208383                                                                                                                                         
MD	24003731310	2238648	401032	0.864	0.155	39.1448788	-76.5344405                                                                                                                                        
MD	24003731311	3799389	168416	1.467	0.065	39.1363416	-76.55125                                                                                                                                          
MD	24003740102	18510214	0	7.147	0.	39.1497535	-76.7508027                                                                                                                                               
MD	24003740103	6054409	0	2.338	0.	39.1450225	-76.713054                                                                                                                                                 
MD	24003740104	4201712	0	1.622	0.	39.1295281	-76.7150343                                                                                                                                                
MD	24003740105	1733381	0	0.669	0.	39.1199835	-76.7014492                                                                                                                                                
MD	24003740201	5319757	0	2.054	0.	39.1422521	-76.6459761                                                                                                                                                
MD	24003740203	9239397	0	3.567	0.	39.1209551	-76.6669492                                                                                                                                                
MD	24003740303	4598686	0	1.776	0.	39.1182004	-76.6908605                                                                                                                                                
MD	24003740304	6482416	0	2.503	0.	39.0898727	-76.6931394                                                                                                                                                
MD	24003740305	3450463	0	1.332	0.	39.1063511	-76.7124542                                                                                                                                                
MD	24003740400	2705357	0	1.045	0.	39.1354606	-76.7778306                                                                                                                                                
MD	24003740500	9643459	0	3.723	0.	39.1106394	-76.8074682                                                                                                                                                
MD	24003740601	5234157	0	2.021	0.	39.1227487	-76.7572227                                                                                                                                                
MD	24003740602	4311198	0	1.665	0.	39.118584	-76.7352797                                                                                                                                                 
MD	24003740603	47715127	124285	18.423	0.048	39.065069	-76.7566355                                                                                                                                       
MD	24003740701	2710723	0	1.047	0.	39.0699162	-76.7150894                                                                                                                                                
MD	24003740702	28344442	0	10.944	0.	39.0332367	-76.7160385                                                                                                                                              
MD	24003740800	20233331	25677	7.812	0.01	39.0607461	-76.6598596                                                                                                                                         
MD	24003740900	5374720	0	2.075	0.	39.0719757	-76.6937324                                                                                                                                                
MD	24003741000	16668602	0	6.436	0.	39.0963922	-76.6532352                                                                                                                                               
MD	24003750101	1345541	0	0.52	0.	39.2243374	-76.6081259                                                                                                                                                 
MD	24003750102	785172	13704	0.303	0.005	39.2313057	-76.6189363                                                                                                                                          
MD	24003750201	3259858	164721	1.259	0.064	39.2149366	-76.6338246                                                                                                                                        
MD	24003750202	2530560	0	0.977	0.	39.2165337	-76.6199559                                                                                                                                                
MD	24003750203	3039311	4445	1.173	0.002	39.2108433	-76.599672                                                                                                                                           
MD	24003750300	2940757	111041	1.135	0.043	39.2212465	-76.6510054                                                                                                                                        
MD	24003750400	3235006	0	1.249	0.	39.2051023	-76.6494392                                                                                                                                                
MD	24003750801	5075470	0	1.96	0.	39.1837603	-76.6423717                                                                                                                                                 
MD	24003750803	2279375	0	0.88	0.	39.1973128	-76.6243324                                                                                                                                                 
MD	24003750804	3152950	21763	1.217	0.008	39.1797577	-76.6257553                                                                                                                                         
MD	24003750900	2910022	0	1.124	0.	39.1668253	-76.6285625                                                                                                                                                
MD	24003751000	3227978	0	1.246	0.	39.1676177	-76.612167                                                                                                                                                 
