lat,lng,comment
39.552,-78.461,
39.551,-78.462,
39.551,-78.462,
39.55,-78.462,
39.55,-78.463,
39.549,-78.463,
39.549,-78.463,
39.548,-78.463,
39.547,-78.462,
39.546,-78.462,
39.546,-78.461,
39.545,-78.46,
39.544,-78.459,
39.544,-78.458,
39.544,-78.456,
39.543,-78.454,
39.543,-78.454,
39.543,-78.454,
39.543,-78.452,
39.543,-78.452,
39.543,-78.451,
39.543,-78.45,
39.542,-78.449,
39.542,-78.449,
39.541,-78.449,
39.541,-78.449,
39.54,-78.449,
39.54,-78.449,
39.54,-78.45,
39.539,-78.45,
39.539,-78.451,
39.539,-78.452,
39.539,-78.454,
39.539,-78.456,
39.539,-78.456,
39.539,-78.456,
39.539,-78.457,
39.539,-78.458,
39.539,-78.459,
39.539,-78.46,
39.538,-78.46,
39.538,-78.461,
39.538,-78.462,
39.538,-78.462,
39.537,-78.462,
39.537,-78.463,
39.537,-78.463,
39.536,-78.463,
39.536,-78.464,
39.535,-78.464,
39.534,-78.464,
39.533,-78.464,
39.532,-78.463,
39.532,-78.463,
39.532,-78.463,
39.531,-78.463,
39.53,-78.462,
39.529,-78.462,
39.527,-78.462,
39.526,-78.462,
39.525,-78.462,
39.524,-78.462,
39.523,-78.462,
39.522,-78.463,
39.522,-78.463,
39.521,-78.464,
39.521,-78.465,
39.52,-78.465,
39.519,-78.466,
39.518,-78.468,
39.517,-78.469,
39.517,-78.471,
39.517,-78.472,
39.517,-78.473,
39.517,-78.474,
39.518,-78.476,
39.518,-78.477,
39.519,-78.479,
39.52,-78.48,
39.52,-78.481,
39.52,-78.482,
39.52,-78.483,
39.52,-78.483,
39.521,-78.484,
39.521,-78.484,
39.521,-78.484,
39.521,-78.485,
39.521,-78.485,
39.521,-78.485,
39.521,-78.486,
39.521,-78.487,
39.521,-78.487,
39.52,-78.488,
39.52,-78.489,
39.52,-78.49,
39.52,-78.491,
39.519,-78.491,
39.519,-78.491,
39.519,-78.491,
39.519,-78.491,
39.519,-78.491,
39.519,-78.492,
39.519,-78.494,
39.519,-78.495,
39.52,-78.498,
39.52,-78.499,
39.52,-78.5,
39.52,-78.5,
39.52,-78.5,
39.52,-78.501,
39.52,-78.502,
39.52,-78.503,
39.52,-78.504,
39.521,-78.506,
39.521,-78.507,
39.522,-78.509,
39.522,-78.511,
39.524,-78.514,
39.524,-78.516,
39.525,-78.518,
39.525,-78.52,
39.526,-78.521,
39.526,-78.521,
39.526,-78.521,
39.526,-78.524,
39.526,-78.526,
39.526,-78.527,
39.526,-78.527,
39.526,-78.527,
39.525,-78.535,
39.525,-78.535,
39.525,-78.535,
39.524,-78.536,
39.524,-78.537,
39.524,-78.538,
39.524,-78.539,
39.523,-78.54,
39.523,-78.542,
39.523,-78.542,
39.523,-78.543,
39.523,-78.544,
39.522,-78.545,
39.522,-78.546,
39.522,-78.547,
39.522,-78.547,
39.522,-78.548,
39.522,-78.55,
39.522,-78.551,
39.523,-78.554,
39.523,-78.554,
39.523,-78.554,
39.523,-78.556,
39.523,-78.558,
39.522,-78.56,
39.522,-78.562,
39.521,-78.563,
39.521,-78.564,
39.521,-78.565,
39.521,-78.567,
39.521,-78.567,
39.522,-78.569,
39.523,-78.57,
39.523,-78.571,
39.524,-78.572,
39.524,-78.573,
39.525,-78.574,
39.525,-78.575,
39.526,-78.575,
39.526,-78.575,
39.527,-78.576,
39.527,-78.576,
39.528,-78.577,
39.528,-78.578,
39.529,-78.58,
39.529,-78.581,
39.529,-78.583,
39.529,-78.585,
39.529,-78.586,
39.529,-78.586,
39.529,-78.586,
39.529,-78.587,
39.529,-78.587,
39.529,-78.587,
39.53,-78.588,
39.53,-78.589,
39.531,-78.591,
39.532,-78.591,
39.532,-78.591,
39.533,-78.591,
39.533,-78.591,
39.535,-78.59,
39.536,-78.589,
39.536,-78.589,
39.536,-78.589,
39.537,-78.59,
39.537,-78.59,
39.538,-78.591,
39.538,-78.592,
39.538,-78.592,
39.538,-78.592,
39.538,-78.593,
39.537,-78.595,
39.537,-78.596,
39.536,-78.597,
39.536,-78.598,
39.535,-78.599,
39.534,-78.6,
39.534,-78.601,
39.533,-78.602,
39.533,-78.602,
39.533,-78.603,
39.533,-78.603,
39.533,-78.604,
39.534,-78.605,
39.535,-78.605,
39.535,-78.606,
39.536,-78.606,
39.536,-78.606,
39.536,-78.607,
39.537,-78.607,
39.537,-78.608,
39.537,-78.609,
39.538,-78.609,
39.538,-78.61,
39.538,-78.61,
39.538,-78.611,
39.538,-78.611,
39.538,-78.612,
39.538,-78.612,
39.538,-78.612,
39.538,-78.613,
39.538,-78.613,
39.538,-78.614,
39.539,-78.616,
39.539,-78.617,
39.54,-78.619,
39.54,-78.62,
39.54,-78.62,
39.54,-78.621,
39.54,-78.622,
39.54,-78.624,
39.54,-78.624,
39.54,-78.624,
39.54,-78.624,
39.54,-78.624,
39.54,-78.625,
39.54,-78.625,
39.54,-78.627,
39.54,-78.627,
39.54,-78.628,
39.54,-78.628,
39.54,-78.628,
39.54,-78.629,
39.54,-78.629,
39.54,-78.63,
39.54,-78.631,
39.54,-78.631,
39.54,-78.631,
39.54,-78.631,
39.539,-78.632,
39.539,-78.633,
39.539,-78.633,
39.538,-78.634,
39.538,-78.635,
39.538,-78.635,
39.538,-78.636,
39.537,-78.636,
39.537,-78.637,
39.537,-78.638,
39.537,-78.639,
39.537,-78.639,
39.537,-78.641,
39.537,-78.642,
39.537,-78.643,
39.537,-78.644,
39.537,-78.644,
39.537,-78.644,
39.537,-78.645,
39.537,-78.646,
39.537,-78.646,
39.536,-78.648,
39.536,-78.649,
39.536,-78.65,
39.536,-78.65,
39.536,-78.651,
39.536,-78.651,
39.536,-78.651,
39.536,-78.651,
39.536,-78.651,
39.536,-78.652,
39.536,-78.652,
39.536,-78.652,
39.536,-78.652,
39.536,-78.653,
39.537,-78.654,
39.537,-78.655,
39.537,-78.656,
39.537,-78.656,
39.537,-78.656,
39.537,-78.657,
39.536,-78.657,
39.536,-78.658,
39.536,-78.658,
39.536,-78.658,
39.536,-78.659,
39.537,-78.66,
39.537,-78.66,
39.537,-78.661,
39.537,-78.663,
39.538,-78.664,
39.538,-78.664,
39.538,-78.665,
39.539,-78.666,
39.54,-78.666,
39.54,-78.666,
39.54,-78.666,
39.54,-78.666,
39.54,-78.666,
39.54,-78.666,
39.54,-78.667,
39.54,-78.667,
39.541,-78.668,
39.541,-78.668,
39.541,-78.669,
39.541,-78.669,
39.541,-78.67,
39.541,-78.671,
39.541,-78.672,
39.541,-78.672,
39.541,-78.672,
39.541,-78.673,
39.541,-78.673,
39.541,-78.674,
39.541,-78.674,
39.541,-78.675,
39.541,-78.675,
39.541,-78.675,
